# Hydrograph at the point with coordinates: 22.0305969946 36.3614236377
# A pixel size is [m2]:
# 1.0
# Time[s];deltaTime[s];Rainfall[m];Water_level_[m];Sheet_Flow[m3/s];Sheet_V_runoff[m3];Sheet_V_rest[m3];Infiltration[m];Surface_retetion[m];State;V_inflow[m3];WlevelTotal[m];WlevelRill[m];Rill_width[m];Rill_flow[m3/s];Rill_V_runoff[m3];Rill_V_rest;Surface_Flow[m3/s];Surface_V_runoff[m3];SurfaceBil[m3];V_to_rill.m3.;ratio;courant;courantrill;iter
0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
40.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
60.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
80.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
100.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
120.0;20.0;0.0005;0.0;0.0;0.0;0.0;0;0.0005;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
140.0;20.0;0.0005;0.0;0.0;0.0;0.0;0;0.0005;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
160.0;20.0;0.0005;0.0;0.0;0.0;0.0;0.0005;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
180.0;20.0;0.0005;0.0;0.0;0.0;0.0;0.0005;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
200.0;20.0;0.0005;0.0;0.0;0.0;0.0;0.0005;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
220.0;20.0;0.0005;0.0;0.0;0.0;0.0;0.0005;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
240.0;20.0;0.0005;0.0;0.0;0.0;0.0;0.00049698326254;0.0;0;0.0;3.01673745968e-06;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
260.0;20.0;0.0005;3.01673745968e-06;3.97869905424e-10;7.95739810848e-09;3.00878006157e-06;0.000486412962881;0.0;0;7.95739810848e-09;1.66037745792e-05;0;0.0;0.0;0.0;0.0;3.97869905424e-10;7.95739810848e-09;0.0;0.0;1;0.00463586020948;0;1
280.0;20.0;0.0005;1.66037745792e-05;7.22568328775e-09;1.44513665755e-07;1.64592609134e-05;0.000477657428786;0.0;0;1.44513665755e-07;3.89463457931e-05;0;0.0;0.0;0.0;0.0;7.22568328775e-09;1.44513665755e-07;5.42101086243e-20;0.0;1;0.015296738782;0;1
300.0;20.0;0.0005;3.89463457931e-05;3.07836937414e-08;6.15673874827e-07;3.83306719183e-05;0.000470250507237;0.0;0;6.15673874827e-07;6.86958385562e-05;0;0.0;0.0;0.0;0.0;3.07836937414e-08;6.15673874827e-07;0.0;0.0;1;0.0277831044275;0;1
320.0;20.0;0.0005;6.86958385562e-05;8.07809661468e-08;1.61561932294e-06;6.70802192333e-05;0.000463878115309;0.0;0;1.61561932294e-06;0.000104817723247;0;0.0;0.0;0.0;0.0;8.07809661468e-08;1.61561932294e-06;0.0;0.0;1;0.0413338035379;0;1
